corrida,sha,ventana_s,semilla,goles_local,goles_visitante,tiros,a_puerta,pases,completados,cambios_min,robos,recogidas
2026-07-30T21:56:26,be411ba,600,0xc0ffee,1,2,4,4,221,124,13.14,12,270
2026-07-30T21:56:26,be411ba,600,0x1,3,0,3,3,250,145,13.55,8,292
2026-07-30T21:56:26,be411ba,600,0x7,1,1,4,4,224,124,13.75,10,270
2026-07-30T21:56:26,be411ba,600,0x2a,2,0,4,4,254,134,15.15,7,300
2026-07-30T21:56:26,be411ba,600,0x4d2,1,0,1,1,276,156,15.25,7,316
2026-07-30T21:56:26,be411ba,600,0x63,2,1,4,4,257,137,14.45,3,300
2026-07-30T21:56:26,be411ba,600,0xa9e,3,1,7,7,245,145,13.04,8,293
2026-07-30T21:56:26,be411ba,600,0x7ab7,4,0,5,5,272,145,14.85,3,316
2026-07-30T21:56:26,be411ba,600,0x5,1,1,3,3,269,150,14.45,5,307
2026-07-30T21:56:26,be411ba,600,0x309,1,1,3,3,245,128,13.75,6,289
