corrida,sha,sonda,metrica,valor
2026-08-01T08:32:58,b7b8606,speed,ticks,6000.000
2026-08-01T08:32:58,b7b8606,speed,segundos_de_pared,4.831
2026-08-01T08:32:58,b7b8606,speed,veces_tiempo_real,12.419
2026-08-01T13:59:25,b7b8606,speed,ticks,6000.000
2026-08-01T13:59:25,b7b8606,speed,segundos_de_pared,6.989
2026-08-01T13:59:25,b7b8606,speed,veces_tiempo_real,8.584
2026-08-02T14:18:19,38e8298,perception,error_balon_medio_m,2.934
2026-08-02T14:18:19,38e8298,perception,error_balon_peor_m,33.475
2026-08-02T14:18:19,38e8298,perception,companeros_conocidos,16.500
2026-08-02T14:18:19,38e8298,perception,antiguedad_media_s,9.502
2026-08-02T14:18:19,38e8298,perception,con_el_balon_en_la_cabeza,21.000
2026-08-04T21:52:21,a5d1489,perception,error_balon_medio_m,0.651
2026-08-04T21:52:21,a5d1489,perception,error_balon_peor_m,12.567
2026-08-04T21:52:21,a5d1489,perception,duda_balon_media_m,4.973
2026-08-04T21:52:21,a5d1489,perception,companeros_conocidos,14.727
2026-08-04T21:52:21,a5d1489,perception,antiguedad_media_s,7.532
2026-08-04T21:52:21,a5d1489,perception,con_el_balon_en_la_cabeza,20.000
2026-08-04T21:52:48,a5d1489,perception,error_balon_medio_m,0.716
2026-08-04T21:52:48,a5d1489,perception,error_balon_peor_m,12.567
2026-08-04T21:52:48,a5d1489,perception,duda_balon_media_m,2.470
2026-08-04T21:52:48,a5d1489,perception,companeros_conocidos,14.727
2026-08-04T21:52:48,a5d1489,perception,antiguedad_media_s,7.532
2026-08-04T21:52:48,a5d1489,perception,con_el_balon_en_la_cabeza,20.000
2026-08-04T21:53:20,a5d1489,perception,error_balon_medio_m,0.716
2026-08-04T21:53:20,a5d1489,perception,error_balon_peor_m,12.567
2026-08-04T21:53:20,a5d1489,perception,duda_balon_media_m,2.470
2026-08-04T21:53:20,a5d1489,perception,companeros_conocidos,14.727
2026-08-04T21:53:20,a5d1489,perception,antiguedad_media_s,7.532
2026-08-04T21:53:20,a5d1489,perception,con_el_balon_en_la_cabeza,20.000
